ID,Gated value,Proposed resolution gate,Gate basis,Decision owner,Affected tasks,Evidence,Why it is not on the PTBC register
UGV-01,Data sensitivity and field-level classification taxonomy,Before Build/Integration Build,"Field-level masking applies to every screen, dashboard, report, export and API projection; ADR-010 states that deciding late forces a revisit of every projection",AHDA Cybersecurity + PMO,"TASK-029, TASK-030, TASK-052, TASK-053, TASK-083","ADR-010 Status: ""Approved (AHDA gate, 19 Sep 2026) - taxonomy outstanding""; TASK-029, TASK-083 Gate Decision Applied",No PTBC ID is cited anywhere for this value
UGV-02,Project-level progress override tolerance,Before UAT,The override mechanism is built and flags the overridden figure; the tolerance is the scoring value,AHDA PMO,TASK-044,"TASK-044 Gate Decision Applied: ""Override tolerance still TBC""",No PTBC ID and no Open Question row
UGV-03,Notification channel scope per event family,Before UAT,"ADR-004 enables SMS at launch; the event-to-channel, recipient-role and Mandatory/User-configurable matrices are FG-04 configuration AHDA populates",AHDA PMO / AHDA IT,"TASK-034, TASK-039, TASK-040, TASK-103","TASK-039 Detailed Description cites ""SMS Conditional/TBC per PTBC"" with no ID; ADR-004",Dangling PTBC reference with no identifier
UGV-04,Governance profile assignment thresholds (budget and duration),Before UAT,Profile values are FG-04 configuration editable without a release; the assignment rule is the gated value,AHDA PMO,"TASK-042, TASK-105","TASK-105 Validation Checks: ""Blocked on OQ-014 for the assignment thresholds""",OQ-014 is cited but has no row in the Open Questions sheet
UGV-05,Change materiality band values,Before UAT,"Mapped to PTBC-009, whose subject in OQ-005 is materiality/monetary thresholds - confirm against Appendix F.2",AHDA Business Sponsor / Portfolio Office,"TASK-027, TASK-034, TASK-106","TASK-106 Validation Checks: ""Blocked on OQ-013 for the values""",OQ-013 is cited but has no row in the Open Questions sheet; proposed mapping to PTBC-009
UGV-06,Contractual SLA table for the ~22-month operations period,Before Production,Role-based structure is documented now; the numbers are contractual and do not affect build or functional UAT,AHDA Contracts / PMO Engagement Lead,"TASK-093, TASK-097",OQ-009; TASK-093 Gate Decision Applied,No PTBC ID
UGV-07,GCP in-Kingdom region name and tenancy ownership,Before Build/Integration Build,Required before the first terraform apply; the region cannot be changed after provisioning without rebuilding every environment,AHDA IT,"TASK-016, TASK-017","ADR-001 Status: ""written confirmation and region naming outstanding""; TASK-017 Gate Decision Applied",No PTBC ID; residual of OQ-001
UGV-08,"Legacy project-records source system, format, volume and field mapping",Before Production,"Cutover is the last step; the mapping is needed before the migration rehearsal, not before build",AHDA IT / Data Owner,"TASK-089, TASK-102",OQ-008 Status: Blocked,No PTBC ID
UGV-09,Dashboard and report contracted counting basis,Before Build/Integration Build,Fixes FG-01/FG-02 sizing before the definition catalogue is built,PMO Engagement Lead / AHDA Contracts,"TASK-069, TASK-070, TASK-071, TASK-072",OQ-002 (re-opened 19 Sep 2026); OQ-011; ADR-006,No PTBC ID; count itself is fixed at 3 dashboards and 10 reports by ADR-006
UGV-10,SMS provider selection and CST sender ID registration,Before UAT,Adapters are not interchangeable and sender ID registration takes about two weeks; only sandbox testing is possible until it completes,AHDA IT / PMO (provider); AHDA Contracts (commercial holder),"TASK-013, TASK-039, TASK-103",OQ-012,No PTBC ID
UGV-11,Disposition of the 32 Step 14B RTM inventory-only components,Before Build/Integration Build,A component with no trace to a rank 1-3 source is not in the build list; the per-component decision is needed before the frontend tasks consume the inventory,PMO Engagement Lead,TASK-002 (F-04); all WF/FG frontend tasks,OQ-004; docs/rtm/step-14b-rtm-findings-closure.md F-04,No PTBC ID
