Ref,Appendix D row,Appendix D entity/business fact (to transcribe),Business fact (workbook restatement),Owning module,ERD table / column,Workbook basis,Coverage status
F-001,,,Project master aggregate,Project,Project,TASK-008; TASK-041; §9,COVERED
F-002,,,"Formal Project ID — one authoritative identifier, unique, issued on AHDA approval",Project,Project.formal_project_id,TASK-041; TASK-025; ADR-013,COVERED
F-003,,,Project lifecycle state (Draft … Closed),Project,Project.lifecycle_state,TASK-041; TASK-062; TASK-063,COVERED
F-004,,,Permanent intake marker with its date,Project,Project.legacy_intake_date,TASK-104; ADR-014,COVERED
F-005,,,"Legacy intake declaration and opening position, entered once",Project,ProjectIntake; ProjectIntakeMilestone,TASK-104; §11.1,COVERED
F-006,,,Governance profile assignment by rule with AHDA override; change is a governed change,Project,Project.governance_profile_item_id; Project.governance_profile_overridden; ChangeRequest.requested_governance_profile_item_id,TASK-105; TASK-042,COVERED
F-007,,,Participation mode per project,Project,Project.participation_mode,TASK-034 amendment; ADR-013,COVERED
F-008,,,Reporting cycle,Progress,ReportingCycle,TASK-044; S-2,COVERED — states/shape inferred
F-009,,,"Progress submission — derived actual %, planned %, override with reason and retained calculated value",Progress,ProgressSubmission,TASK-044; ADR-009,COVERED
F-010,,,"Published progress snapshot, immutable and distinct from current/live",Progress,PublishedProgressSnapshot,TASK-044,COVERED
F-011,,,Overall Project Health — calculated and published by WF-02 only,Progress,ProjectHealthStatus.overall_health; PublishedProgressSnapshot.overall_health,ICD-03; TASK-044; TASK-069,COVERED
F-012,,,Consolidated periodic update session with draft/resume and completion-time instrumentation,Progress,PeriodicUpdateSession; PeriodicUpdateSessionItem,TASK-107; §11.2,COVERED
F-013,,,ProjectSchedule (Current Forecast container),Schedule,ProjectSchedule,TASK-008; TASK-046,COVERED
F-014,,,ScheduleActivity hierarchy with validated dependencies,Schedule,ScheduleActivity; ScheduleDependency,TASK-046; TASK-047,COVERED
F-015,,,"Approved Baseline — single Active at a time, approved via WF-11",Schedule,ProjectBaseline; BaselineActivity; BaselineDependency; BaselineMilestone,TASK-046; TASK-054,COVERED
F-016,,,Declared Baseline — first-class type distinguishable from Approved,Schedule,ProjectBaseline.baseline_type; ProjectBaseline.project_intake_id,TASK-104; ADR-014,COVERED
F-017,,,Schedule variance and Schedule Health against the Approved Baseline,Schedule,ScheduleHealthStatus,TASK-046; TASK-054,COVERED
F-018,,,ProjectMilestone — one shared identity; WF-03 owns schedule representation and dates,Schedule,ProjectMilestone; BaselineMilestone,ICD-04; TASK-050,COVERED
F-019,,,Planned-duration weighting on activities,Schedule,ScheduleActivity.planned_duration_days; BaselineActivity.planned_duration_days,ADR-009; TASK-025,COVERED
F-020,,,Task,ProjectTask,ProjectTask,TASK-008; TASK-048,COVERED
F-021,,,Subtask,ProjectTask,ProjectTask.parent_task_id,TASK-008; TASK-048,COVERED
F-022,,,Task dependency and blocking rules; controlled reopen/cancel,ProjectTask,TaskDependency; ProjectTask.blocked_reason; ProjectTask.reopened_count,TASK-048,COVERED
F-023,,,Activity Execution Progress aggregate,ProjectTask,ActivityExecutionProgress,TASK-048; §9,COVERED
F-024,,,Task actual % maintained by owner; planned duration for weighting,ProjectTask,ProjectTask.actual_percent_complete; ProjectTask.planned_duration_days,ADR-009; TASK-048,COVERED
F-025,,,MilestoneAchievement with revisions; correction never edits history,Milestone,MilestoneAchievement,TASK-050,COVERED
F-026,,,Accepted Actual Achievement Date — WF-05-owned,Milestone,MilestoneAchievement.accepted_actual_achievement_date,ICD-04; TASK-050,COVERED
F-027,,,Risk register entry,Risk,Risk,TASK-055,COVERED
F-028,,,RiskAssessmentVersion pinned to the matrix version at assessment,Risk,RiskAssessmentVersion,TASK-055; TASK-059,COVERED
F-029,,,Multi-dimensional five-level impact on a risk,Risk,RiskAssessmentImpact,ADR-011,COVERED
F-030,,,Treatment / mitigation actions,Risk,RiskTreatmentAction,TASK-055,COVERED
F-031,,,Risk acceptance with expiry — no permanent acceptance,Risk,RiskAcceptance,TASK-055 gate note,COVERED — states/shape inferred
