PTBC ID,Theme,Category,Source spec,Resolution gate,Gate basis,FG-04 configurable,Status,Decision owner,AHDA-approved value,Working baseline (not approved),Linked tasks,Earliest linked wave,Evidence
PTBC-001,"Approval authority matrix - who may approve what, at what value",Approval & Authority,WF-11; Blueprint v2.0 Section 11,Before UAT,Approval mechanics build generically; routing cannot be validated in UAT without the matrix,Yes - FG-04 published configuration,Open,AHDA Business Sponsor / Portfolio Office,,,"TASK-034, TASK-035",W1,Open Questions OQ-005; TASK-034 Participation Amendment (FG-04 owns the approval authority matrix)
PTBC-002,Project lifecycle fast-track rule - whether Under Review may be skipped,Lifecycle & Workflow,"WF-01; Blueprint v2.0 Sections 5, 9; ICD-02",Before Build/Integration Build,Changes the Project state machine; a transition not built cannot be added without re-approving live projects,No,Open,AHDA PMO / Business Sponsor,,,TASK-041,W2,"TASK-041 Acceptance Criteria: 'a Project cannot skip Under Review unless an explicitly authorized fast-track rule exists (else flagged as Open Question, PTBC-002)'"
PTBC-003,External entity onboarding and eligibility authority,External Participation,WF-13,Before Build/Integration Build,"Determines who may hold an external grant and on what basis; drives the authorization model, not a threshold",Partly - participation mode per project is FG-04 configuration,Partially Resolved,AHDA Business Sponsor / AHDA PMO,"Entity-initiated project draft with AHDA approval; R04 Project Manager is employer-neutral, scoped to the entity's own project (ADR-013, AHDA PMO 20 Sep 2026)",,"TASK-066, TASK-067, TASK-068",W5,OQ-007; ADR-013; TASK-068 Detailed Description
PTBC-004,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-005,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-006,Milestone achievement evidence policy - mandatory evidence per milestone category,Evidence & Documentation,WF-05; WF-12; ICD-04,Before UAT,UI and backend enforce whatever policy is published; until it exists the UI labels evidence optional-pending-policy rather than accepting an unvalidated submission,Yes - FG-04 published configuration,Open,AHDA PMO,,,"TASK-050, TASK-051",W4,TASK-051 Acceptance Criteria: 'the evidence configured as mandatory for the milestone's category (once PTBC-006/PTBC-019 are resolved)'
PTBC-007,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-008,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
PTBC-009,"Change materiality and monetary thresholds - band boundaries for cost, schedule and scope",Approval & Authority,WF-08,Before UAT,"ADR-016 fixes three bands and the highest-band rule; only the boundary values are outstanding, and routing cannot be scored in UAT without them",Yes - FG-04 published configuration per governance profile,Partially Resolved,AHDA Business Sponsor / Portfolio Office,"Shape only: three bands across cost, schedule and scope; a change takes the highest band any dimension triggers; changes accumulate against the active baseline (ADR-016)",,"TASK-027, TASK-034, TASK-060, TASK-061, TASK-106",W1,"OQ-005; OQ-013 (cited by TASK-106, row absent from the Open Questions sheet); ADR-016"
PTBC-010,PENDING - not recoverable from available sources,PENDING,PENDING (Blueprint v2.0 Appendix F.2),PENDING,Cannot be assigned without the theme subject,PENDING,Unpopulated,PENDING,,,,,"No reference to this ID exists in the Implementation work workbook (all five sheets, read 2026-09-20)"
