Variable Name,Purpose,Environment Scope,Classification,Owner,Storage Location,Verification Method,Gate Note
DB_CONNECTION_STRING,PostgreSQL-compatible connection string (AlloyDB for PostgreSQL) for the primary application database,DEV/SIT/UAT/PROD (distinct value per environment),Secret,DevOps/Platform Lead,Approved secret-management platform (see ADR-001 hosting target),Application fails to start with a clear error if unset; connection succeeds via health check endpoint,"Hosting target resolved (ADR-001): GCP, in-Kingdom. Secret store is the approved GCP secret-management service unless AHDA IT nominates another."
DB_BACKUP_STORAGE_CONNECTION_STRING,Connection string for the automated backup target,SIT/UAT/PROD,Secret,DevOps/Platform Lead,Approved secret-management platform,Backup job completes successfully and is visible in provider console,Backup target must be in-Kingdom (ADR-001). Backup frequency sized to RPO 1 hour.
JWT_SIGNING_KEY,Signing key/certificate for issued session/access tokens,DEV/SIT/UAT/PROD (distinct per environment),Secret,Security Lead,Approved secret-management platform,Token issued and validated round-trip in an integration test; rejected once rotated,
AD_LDAP_URL,Endpoint of AHDA's Active Directory/LDAP service,SIT/UAT/PROD,Secret,AHDA IT (Directory Services),Approved secret-management platform / configuration store,Successful bind/test connection from ADM-041 admin screen,"Confirmed in scope (ADR-007): AHDA's existing directory is the authoritative source for department, manager and job title."
AD_BIND_DN,Service account distinguished name used to query AD/LDAP,SIT/UAT/PROD,Secret,AHDA IT (Directory Services),Approved secret-management platform,Successful bind/test connection from ADM-041 admin screen,
AD_BIND_PASSWORD,Service account password for AD/LDAP bind,SIT/UAT/PROD,Secret,AHDA IT (Directory Services),Approved secret-management platform,Successful bind/test connection; rotation tested without downtime,
SSO_OIDC_CLIENT_ID,OIDC/SSO client identifier registered with AHDA identity provider,DEV (test tenant)/SIT/UAT/PROD,Public (client ID; not a secret by itself),AHDA IT (Identity),Application configuration store,Login flow completes end to end against the target IdP,Confirmed in scope (ADR-007): internal users authenticate by SSO against AHDA's directory. Platform roles are NOT derived from directory groups.
SSO_OIDC_CLIENT_SECRET,OIDC/SSO client secret paired with the client ID,DEV/SIT/UAT/PROD,Secret,AHDA IT (Identity),Approved secret-management platform,Login flow completes end to end; rejected if tampered,
SSO_OIDC_AUTHORITY,Base authority/issuer URL of AHDA's identity provider,DEV/SIT/UAT/PROD,Public,AHDA IT (Identity),Application configuration store,Discovery document resolves and token issuer matches configured value,
SSO_OIDC_CALLBACK_URL,Registered redirect/callback URL for the SSO flow per environment,DEV/SIT/UAT/PROD,Public,AHDA IT (Identity),Application configuration store,Login redirect completes without a redirect-URI-mismatch error,
MFA_PROVIDER_API_KEY,API key for the MFA verification provider,SIT/UAT/PROD,Secret,Security Lead,Approved secret-management platform,Test MFA challenge/verify round-trip succeeds,"Scope depends on the step-up trigger list, outstanding under ADR-010. If MFA is provided by AHDA's identity provider, this variable may be unnecessary — confirm at environment setup."
MFA_PROVIDER_ENDPOINT,Base endpoint of the MFA verification provider,SIT/UAT/PROD,Public,Security Lead,Application configuration store,Test MFA challenge/verify round-trip succeeds,
EXCHANGE_SMTP_HOST,AHDA Exchange SMTP relay hostname for outbound email notifications,SIT/UAT/PROD,Public,AHDA IT (Messaging),Application configuration store,Test email delivered and received in a controlled inbox,
EXCHANGE_SMTP_PORT,SMTP relay port,SIT/UAT/PROD,Public,AHDA IT (Messaging),Application configuration store,Test email delivered and received,
